"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","baseline_date","baseline_time","session_day","session_slot","experiment_start","browser","screen_width","screen_height","timezone_offset","view_history","rt","stimulus","response","trial_number","left_word","right_word","valence","left_base_rating","right_base_rating","left_valence","right_valence","abs_diff","participant_response","chosen_side","valid_response","which_experiment_phase"
"pavlovia","0","1034","0.0-0.0","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","","","","","","","","","","","","","","","",""
"instructions","1","58767","0.0-1.0","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","[{""page_index"":0,""viewing_time"":50240},{""page_index"":1,""viewing_time"":3004},{""page_index"":0,""viewing_time"":1521},{""page_index"":1,""viewing_time"":979},{""page_index"":2,""viewing_time"":1987}]","57732","","","","","","","","","","","","","","",""
"html-button-response","2","60046","0.0-2.0-0.0","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","1277","<div class=""prompt"">Which word describes you more?</div>","1","1","healthy","dull","PosNeg","38","50","positive","negative","12","dull","right","true","pairing"
"html-button-response","3","60863","0.0-2.0-0.1","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","816","<div class=""prompt"">Which word describes you more?</div>","0","2","smiley","valued","PosPos","56","38","positive","positive","18","smiley","left","true","pairing"
"html-button-response","4","61747","0.0-2.0-0.2","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","882","<div class=""prompt"">Which word describes you more?</div>","1","3","smiley","disastrous","PosNeg","56","71","positive","negative","15","disastrous","right","true","pairing"
"html-button-response","5","62372","0.0-2.0-0.3","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","623","<div class=""prompt"">Which word describes you more?</div>","0","4","repulsive","ambitious","PosNeg","66","63","negative","positive","3","repulsive","left","true","pairing"
"html-button-response","6","63389","0.0-2.0-0.4","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","1015","<div class=""prompt"">Which word describes you more?</div>","1","5","learner","incompetent","PosNeg","58","17","positive","negative","41","incompetent","right","true","pairing"
"html-button-response","7","64150","0.0-2.0-0.5","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","760","<div class=""prompt"">Which word describes you more?</div>","0","6","selfish","adventurous","PosNeg","35","48","negative","positive","13","selfish","left","true","pairing"
"html-button-response","8","64697","0.0-2.0-0.6","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","544","<div class=""prompt"">Which word describes you more?</div>","1","7","adventurous","defective","PosNeg","48","17","positive","negative","31","defective","right","true","pairing"
"html-button-response","9","65712","0.0-2.0-0.7","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","1013","<div class=""prompt"">Which word describes you more?</div>","0","8","empty","charming","PosNeg","93","23","negative","positive","70","empty","left","true","pairing"
"html-button-response","10","66188","0.0-2.0-0.8","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","474","<div class=""prompt"">Which word describes you more?</div>","1","9","achiever","unwanted","PosNeg","18","85","positive","negative","67","unwanted","right","true","pairing"
"html-button-response","11","66700","0.0-2.0-0.9","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","510","<div class=""prompt"">Which word describes you more?</div>","0","10","defective","pest","NegNeg","17","67","negative","negative","50","defective","left","true","pairing"
"html-button-response","12","67171","0.0-2.0-0.10","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","469","<div class=""prompt"">Which word describes you more?</div>","1","11","attractive","unwanted","PosNeg","28","85","positive","negative","57","unwanted","right","true","pairing"
"html-button-response","13","67675","0.0-2.0-0.11","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","502","<div class=""prompt"">Which word describes you more?</div>","0","12","smiley","achiever","PosPos","56","18","positive","positive","38","smiley","left","true","pairing"
"html-button-response","14","68125","0.0-2.0-0.12","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","448","<div class=""prompt"">Which word describes you more?</div>","1","13","gloomy","empty","NegNeg","18","93","negative","negative","75","empty","right","true","pairing"
"html-button-response","15","68646","0.0-2.0-0.13","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","519","<div class=""prompt"">Which word describes you more?</div>","0","14","disgrace","visionary","PosNeg","65","52","negative","positive","13","disgrace","left","true","pairing"
"html-button-response","16","69096","0.0-2.0-0.14","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","448","<div class=""prompt"">Which word describes you more?</div>","1","15","gentle","fool","PosNeg","27","28","positive","negative","1","fool","right","true","pairing"
"html-button-response","17","69562","0.0-2.0-0.15","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","464","<div class=""prompt"">Which word describes you more?</div>","0","16","defective","humorous","PosNeg","17","55","negative","positive","38","defective","left","true","pairing"
"html-button-response","18","70017","0.0-2.0-0.16","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","453","<div class=""prompt"">Which word describes you more?</div>","1","17","unique","fraud","PosNeg","65","68","positive","negative","3","fraud","right","true","pairing"
"html-button-response","19","70467","0.0-2.0-0.17","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","448","<div class=""prompt"">Which word describes you more?</div>","0","18","unwanted","adventurous","PosNeg","85","48","negative","positive","37","unwanted","left","true","pairing"
"html-button-response","20","70925","0.0-2.0-0.18","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","456","<div class=""prompt"">Which word describes you more?</div>","1","19","humorous","traitor","PosNeg","55","59","positive","negative","4","traitor","right","true","pairing"
"html-button-response","21","71383","0.0-2.0-0.19","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","","457","<div class=""prompt"">Which word describes you more?</div>","0","20","regretful","enthusiastic","PosNeg","8","61","negative","positive","53","regretful","left","true","pairing"
"instructions","22","75062","0.0-3.0","R_6LUWY5EVT2mcyfL","2025-09-22","21:22:42.054Z","day4","evening","2025-09-25T00:37:04.561Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","1136","774","240","[{""page_index"":0,""viewing_time"":3677}]","3678","","","","","","","","","","","","","","",""
